"bigram","n","year","score","category"
NA,92,2015,1,"Shopping"
NA,92,2015,1,"Shopping"
NA,115,2015,2,"Active Life"
NA,99,2015,2,"Active Life"
NA,89,2015,2,"Active Life"
NA,87,2015,2,"Active Life"
NA,74,2015,2,"Active Life"
NA,62,2015,2,"Active Life"
NA,49,2015,2,"Active Life"
NA,48,2015,2,"Active Life"
NA,43,2015,2,"Active Life"
NA,40,2015,2,"Active Life"
NA,40,2015,2,"Active Life"
NA,40,2015,2,"Active Life"
NA,38,2015,2,"Active Life"
NA,38,2015,2,"Active Life"
NA,37,2015,2,"Active Life"
NA,36,2015,2,"Active Life"
NA,35,2015,2,"Active Life"
NA,34,2015,2,"Active Life"
NA,32,2015,2,"Active Life"
NA,32,2015,2,"Active Life"
NA,31,2015,2,"Active Life"
NA,30,2015,2,"Active Life"
NA,30,2015,2,"Active Life"
NA,30,2015,2,"Active Life"
NA,29,2015,2,"Active Life"
NA,29,2015,2,"Active Life"
NA,29,2015,2,"Active Life"
NA,29,2015,2,"Active Life"
NA,29,2015,2,"Active Life"
NA,27,2015,2,"Active Life"
NA,27,2015,2,"Active Life"
NA,26,2015,2,"Active Life"
NA,26,2015,2,"Active Life"
NA,25,2015,2,"Active Life"
NA,25,2015,2,"Active Life"
NA,25,2015,2,"Active Life"
NA,24,2015,2,"Active Life"
NA,24,2015,2,"Active Life"
NA,24,2015,2,"Active Life"
NA,24,2015,2,"Active Life"
NA,24,2015,2,"Active Life"
NA,23,2015,2,"Active Life"
NA,23,2015,2,"Active Life"
NA,23,2015,2,"Active Life"
NA,23,2015,2,"Active Life"
NA,22,2015,2,"Active Life"
NA,22,2015,2,"Active Life"
NA,22,2015,2,"Active Life"
NA,21,2015,2,"Active Life"
NA,21,2015,2,"Active Life"
NA,21,2015,2,"Active Life"
NA,20,2015,2,"Active Life"
NA,20,2015,2,"Active Life"
NA,20,2015,2,"Active Life"
NA,20,2015,2,"Active Life"
NA,19,2015,2,"Active Life"
NA,19,2015,2,"Active Life"
NA,19,2015,2,"Active Life"
NA,18,2015,2,"Active Life"
NA,18,2015,2,"Active Life"
NA,18,2015,2,"Active Life"
NA,18,2015,2,"Active Life"
NA,18,2015,2,"Active Life"
NA,17,2015,2,"Active Life"
NA,17,2015,2,"Active Life"
NA,17,2015,2,"Active Life"
NA,17,2015,2,"Active Life"
NA,16,2015,2,"Active Life"
NA,16,2015,2,"Active Life"
NA,16,2015,2,"Active Life"
NA,16,2015,2,"Active Life"
NA,16,2015,2,"Active Life"
NA,16,2015,2,"Active Life"
NA,16,2015,2,"Active Life"
NA,16,2015,2,"Active Life"
NA,16,2015,2,"Active Life"
NA,16,2015,2,"Active Life"
NA,15,2015,2,"Active Life"
NA,15,2015,2,"Active Life"
NA,15,2015,2,"Active Life"
NA,15,2015,2,"Active Life"
NA,15,2015,2,"Active Life"
NA,15,2015,2,"Active Life"
NA,15,2015,2,"Active Life"
NA,15,2015,2,"Active Life"
NA,15,2015,2,"Active Life"
NA,14,2015,2,"Active Life"
NA,14,2015,2,"Active Life"
NA,14,2015,2,"Active Life"
NA,14,2015,2,"Active Life"
NA,14,2015,2,"Active Life"
NA,14,2015,2,"Active Life"
NA,14,2015,2,"Active Life"
NA,14,2015,2,"Active Life"
NA,14,2015,2,"Active Life"
NA,14,2015,2,"Active Life"
NA,14,2015,2,"Active Life"
NA,13,2015,2,"Active Life"
NA,13,2015,2,"Active Life"
NA,13,2015,2,"Active Life"
NA,416,2015,2,"Arts & Entertainment"
NA,410,2015,2,"Arts & Entertainment"
NA,274,2015,2,"Arts & Entertainment"
NA,259,2015,2,"Arts & Entertainment"
NA,219,2015,2,"Arts & Entertainment"
NA,130,2015,2,"Arts & Entertainment"
NA,124,2015,2,"Arts & Entertainment"
NA,120,2015,2,"Arts & Entertainment"
NA,118,2015,2,"Arts & Entertainment"
NA,115,2015,2,"Arts & Entertainment"
NA,113,2015,2,"Arts & Entertainment"
NA,112,2015,2,"Arts & Entertainment"
NA,110,2015,2,"Arts & Entertainment"
NA,106,2015,2,"Arts & Entertainment"
NA,103,2015,2,"Arts & Entertainment"
NA,98,2015,2,"Arts & Entertainment"
NA,95,2015,2,"Arts & Entertainment"
NA,93,2015,2,"Arts & Entertainment"
NA,92,2015,2,"Arts & Entertainment"
NA,92,2015,2,"Arts & Entertainment"
NA,91,2015,2,"Arts & Entertainment"
NA,88,2015,2,"Arts & Entertainment"
NA,88,2015,2,"Arts & Entertainment"
NA,86,2015,2,"Arts & Entertainment"
NA,85,2015,2,"Arts & Entertainment"
NA,83,2015,2,"Arts & Entertainment"
NA,81,2015,2,"Arts & Entertainment"
NA,80,2015,2,"Arts & Entertainment"
NA,75,2015,2,"Arts & Entertainment"
NA,74,2015,2,"Arts & Entertainment"
NA,74,2015,2,"Arts & Entertainment"
NA,72,2015,2,"Arts & Entertainment"
NA,71,2015,2,"Arts & Entertainment"
NA,70,2015,2,"Arts & Entertainment"
NA,69,2015,2,"Arts & Entertainment"
NA,69,2015,2,"Arts & Entertainment"
NA,67,2015,2,"Arts & Entertainment"
NA,66,2015,2,"Arts & Entertainment"
NA,66,2015,2,"Arts & Entertainment"
NA,66,2015,2,"Arts & Entertainment"
NA,64,2015,2,"Arts & Entertainment"
NA,62,2015,2,"Arts & Entertainment"
NA,61,2015,2,"Arts & Entertainment"
NA,60,2015,2,"Arts & Entertainment"
NA,60,2015,2,"Arts & Entertainment"
NA,59,2015,2,"Arts & Entertainment"
NA,58,2015,2,"Arts & Entertainment"
NA,58,2015,2,"Arts & Entertainment"
NA,56,2015,2,"Arts & Entertainment"
NA,56,2015,2,"Arts & Entertainment"
NA,55,2015,2,"Arts & Entertainment"
NA,55,2015,2,"Arts & Entertainment"
NA,54,2015,2,"Arts & Entertainment"
NA,54,2015,2,"Arts & Entertainment"
NA,53,2015,2,"Arts & Entertainment"
NA,51,2015,2,"Arts & Entertainment"
NA,50,2015,2,"Arts & Entertainment"
NA,50,2015,2,"Arts & Entertainment"
NA,48,2015,2,"Arts & Entertainment"
NA,47,2015,2,"Arts & Entertainment"
NA,47,2015,2,"Arts & Entertainment"
NA,47,2015,2,"Arts & Entertainment"
NA,47,2015,2,"Arts & Entertainment"
NA,46,2015,2,"Arts & Entertainment"
NA,46,2015,2,"Arts & Entertainment"
NA,46,2015,2,"Arts & Entertainment"
NA,46,2015,2,"Arts & Entertainment"
NA,46,2015,2,"Arts & Entertainment"
NA,45,2015,2,"Arts & Entertainment"
NA,45,2015,2,"Arts & Entertainment"
NA,44,2015,2,"Arts & Entertainment"
NA,44,2015,2,"Arts & Entertainment"
NA,43,2015,2,"Arts & Entertainment"
NA,43,2015,2,"Arts & Entertainment"
NA,43,2015,2,"Arts & Entertainment"
NA,43,2015,2,"Arts & Entertainment"
NA,42,2015,2,"Arts & Entertainment"
NA,41,2015,2,"Arts & Entertainment"
NA,40,2015,2,"Arts & Entertainment"
NA,40,2015,2,"Arts & Entertainment"
NA,40,2015,2,"Arts & Entertainment"
NA,40,2015,2,"Arts & Entertainment"
NA,40,2015,2,"Arts & Entertainment"
NA,39,2015,2,"Arts & Entertainment"
NA,39,2015,2,"Arts & Entertainment"
NA,38,2015,2,"Arts & Entertainment"
NA,38,2015,2,"Arts & Entertainment"
NA,38,2015,2,"Arts & Entertainment"
NA,38,2015,2,"Arts & Entertainment"
NA,38,2015,2,"Arts & Entertainment"
NA,37,2015,2,"Arts & Entertainment"
NA,37,2015,2,"Arts & Entertainment"
NA,37,2015,2,"Arts & Entertainment"
NA,37,2015,2,"Arts & Entertainment"
NA,37,2015,2,"Arts & Entertainment"
NA,37,2015,2,"Arts & Entertainment"
NA,36,2015,2,"Arts & Entertainment"
NA,36,2015,2,"Arts & Entertainment"
NA,36,2015,2,"Arts & Entertainment"
NA,35,2015,2,"Arts & Entertainment"
NA,199,2015,2,"Automotive"
NA,177,2015,2,"Automotive"
NA,144,2015,2,"Automotive"
NA,78,2015,2,"Automotive"
NA,75,2015,2,"Automotive"
NA,61,2015,2,"Automotive"
NA,50,2015,2,"Automotive"
NA,37,2015,2,"Automotive"
NA,37,2015,2,"Automotive"
NA,33,2015,2,"Automotive"
NA,29,2015,2,"Automotive"
NA,29,2015,2,"Automotive"
NA,28,2015,2,"Automotive"
NA,27,2015,2,"Automotive"
NA,27,2015,2,"Automotive"
NA,26,2015,2,"Automotive"
NA,24,2015,2,"Automotive"
NA,22,2015,2,"Automotive"
NA,22,2015,2,"Automotive"
NA,22,2015,2,"Automotive"
NA,22,2015,2,"Automotive"
NA,21,2015,2,"Automotive"
NA,20,2015,2,"Automotive"
NA,20,2015,2,"Automotive"
NA,19,2015,2,"Automotive"
NA,19,2015,2,"Automotive"
NA,19,2015,2,"Automotive"
NA,18,2015,2,"Automotive"
NA,16,2015,2,"Automotive"
NA,16,2015,2,"Automotive"
NA,16,2015,2,"Automotive"
NA,15,2015,2,"Automotive"
NA,15,2015,2,"Automotive"
NA,15,2015,2,"Automotive"
NA,14,2015,2,"Automotive"
NA,14,2015,2,"Automotive"
NA,14,2015,2,"Automotive"
NA,14,2015,2,"Automotive"
NA,13,2015,2,"Automotive"
NA,13,2015,2,"Automotive"
NA,13,2015,2,"Automotive"
NA,13,2015,2,"Automotive"
NA,13,2015,2,"Automotive"
NA,13,2015,2,"Automotive"
NA,12,2015,2,"Automotive"
NA,12,2015,2,"Automotive"
NA,12,2015,2,"Automotive"
NA,12,2015,2,"Automotive"
NA,12,2015,2,"Automotive"
NA,12,2015,2,"Automotive"
NA,12,2015,2,"Automotive"
NA,11,2015,2,"Automotive"
NA,11,2015,2,"Automotive"
NA,11,2015,2,"Automotive"
NA,11,2015,2,"Automotive"
NA,11,2015,2,"Automotive"
NA,11,2015,2,"Automotive"
NA,11,2015,2,"Automotive"
NA,11,2015,2,"Automotive"
NA,11,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,10,2015,2,"Automotive"
NA,9,2015,2,"Automotive"
NA,9,2015,2,"Automotive"
NA,9,2015,2,"Automotive"
NA,9,2015,2,"Automotive"
NA,9,2015,2,"Automotive"
NA,9,2015,2,"Automotive"
NA,9,2015,2,"Automotive"
NA,9,2015,2,"Automotive"
NA,9,2015,2,"Automotive"
NA,9,2015,2,"Automotive"
NA,9,2015,2,"Automotive"
NA,9,2015,2,"Automotive"
NA,9,2015,2,"Automotive"
NA,8,2015,2,"Automotive"
NA,8,2015,2,"Automotive"
NA,8,2015,2,"Automotive"
NA,8,2015,2,"Automotive"
NA,8,2015,2,"Automotive"
NA,8,2015,2,"Automotive"
NA,8,2015,2,"Automotive"
NA,8,2015,2,"Automotive"
NA,8,2015,2,"Automotive"
NA,8,2015,2,"Automotive"
NA,8,2015,2,"Automotive"
NA,196,2015,2,"Beauty & Spas"
NA,168,2015,2,"Beauty & Spas"
NA,152,2015,2,"Beauty & Spas"
NA,118,2015,2,"Beauty & Spas"
NA,110,2015,2,"Beauty & Spas"
NA,98,2015,2,"Beauty & Spas"
NA,97,2015,2,"Beauty & Spas"
NA,91,2015,2,"Beauty & Spas"
NA,84,2015,2,"Beauty & Spas"
NA,82,2015,2,"Beauty & Spas"
NA,79,2015,2,"Beauty & Spas"
NA,76,2015,2,"Beauty & Spas"
NA,71,2015,2,"Beauty & Spas"
NA,70,2015,2,"Beauty & Spas"
NA,68,2015,2,"Beauty & Spas"
NA,65,2015,2,"Beauty & Spas"
NA,63,2015,2,"Beauty & Spas"
NA,57,2015,2,"Beauty & Spas"
NA,56,2015,2,"Beauty & Spas"
NA,54,2015,2,"Beauty & Spas"
NA,53,2015,2,"Beauty & Spas"
NA,53,2015,2,"Beauty & Spas"
NA,51,2015,2,"Beauty & Spas"
NA,50,2015,2,"Beauty & Spas"
NA,50,2015,2,"Beauty & Spas"
NA,49,2015,2,"Beauty & Spas"
NA,48,2015,2,"Beauty & Spas"
NA,48,2015,2,"Beauty & Spas"
NA,48,2015,2,"Beauty & Spas"
NA,47,2015,2,"Beauty & Spas"
NA,47,2015,2,"Beauty & Spas"
NA,45,2015,2,"Beauty & Spas"
NA,45,2015,2,"Beauty & Spas"
NA,45,2015,2,"Beauty & Spas"
NA,45,2015,2,"Beauty & Spas"
NA,45,2015,2,"Beauty & Spas"
NA,41,2015,2,"Beauty & Spas"
NA,41,2015,2,"Beauty & Spas"
NA,40,2015,2,"Beauty & Spas"
NA,40,2015,2,"Beauty & Spas"
NA,40,2015,2,"Beauty & Spas"
NA,40,2015,2,"Beauty & Spas"
NA,39,2015,2,"Beauty & Spas"
NA,38,2015,2,"Beauty & Spas"
NA,38,2015,2,"Beauty & Spas"
NA,37,2015,2,"Beauty & Spas"
NA,37,2015,2,"Beauty & Spas"
NA,37,2015,2,"Beauty & Spas"
NA,35,2015,2,"Beauty & Spas"
NA,35,2015,2,"Beauty & Spas"
NA,35,2015,2,"Beauty & Spas"
NA,35,2015,2,"Beauty & Spas"
NA,34,2015,2,"Beauty & Spas"
NA,34,2015,2,"Beauty & Spas"
NA,34,2015,2,"Beauty & Spas"
NA,34,2015,2,"Beauty & Spas"
NA,33,2015,2,"Beauty & Spas"
NA,33,2015,2,"Beauty & Spas"
NA,33,2015,2,"Beauty & Spas"
NA,32,2015,2,"Beauty & Spas"
NA,32,2015,2,"Beauty & Spas"
NA,31,2015,2,"Beauty & Spas"
NA,31,2015,2,"Beauty & Spas"
NA,31,2015,2,"Beauty & Spas"
NA,30,2015,2,"Beauty & Spas"
NA,30,2015,2,"Beauty & Spas"
NA,30,2015,2,"Beauty & Spas"
NA,30,2015,2,"Beauty & Spas"
NA,30,2015,2,"Beauty & Spas"
NA,30,2015,2,"Beauty & Spas"
NA,29,2015,2,"Beauty & Spas"
NA,29,2015,2,"Beauty & Spas"
NA,28,2015,2,"Beauty & Spas"
NA,28,2015,2,"Beauty & Spas"
NA,28,2015,2,"Beauty & Spas"
NA,28,2015,2,"Beauty & Spas"
NA,27,2015,2,"Beauty & Spas"
NA,27,2015,2,"Beauty & Spas"
NA,27,2015,2,"Beauty & Spas"
NA,27,2015,2,"Beauty & Spas"
NA,27,2015,2,"Beauty & Spas"
NA,27,2015,2,"Beauty & Spas"
NA,26,2015,2,"Beauty & Spas"
NA,26,2015,2,"Beauty & Spas"
NA,25,2015,2,"Beauty & Spas"
NA,25,2015,2,"Beauty & Spas"
NA,25,2015,2,"Beauty & Spas"
NA,25,2015,2,"Beauty & Spas"
NA,25,2015,2,"Beauty & Spas"
NA,25,2015,2,"Beauty & Spas"
NA,25,2015,2,"Beauty & Spas"
NA,25,2015,2,"Beauty & Spas"
NA,24,2015,2,"Beauty & Spas"
NA,24,2015,2,"Beauty & Spas"
NA,24,2015,2,"Beauty & Spas"
NA,23,2015,2,"Beauty & Spas"
NA,23,2015,2,"Beauty & Spas"
NA,23,2015,2,"Beauty & Spas"
NA,23,2015,2,"Beauty & Spas"
NA,23,2015,2,"Beauty & Spas"
NA,15,2015,2,"Education"
NA,13,2015,2,"Education"
NA,11,2015,2,"Education"
NA,8,2015,2,"Education"
NA,7,2015,2,"Education"
NA,6,2015,2,"Education"
NA,5,2015,2,"Education"
NA,5,2015,2,"Education"
NA,5,2015,2,"Education"
NA,5,2015,2,"Education"
NA,5,2015,2,"Education"
NA,5,2015,2,"Education"
NA,4,2015,2,"Education"
NA,4,2015,2,"Education"
NA,4,2015,2,"Education"
NA,4,2015,2,"Education"
NA,4,2015,2,"Education"
NA,4,2015,2,"Education"
NA,4,2015,2,"Education"
NA,4,2015,2,"Education"
NA,4,2015,2,"Education"
NA,4,2015,2,"Education"
NA,4,2015,2,"Education"
NA,4,2015,2,"Education"
NA,4,2015,2,"Education"
NA,4,2015,2,"Education"
NA,4,2015,2,"Education"
NA,4,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,3,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,2,2015,2,"Education"
NA,1159,2015,2,"Event Planning & Services"
NA,774,2015,2,"Event Planning & Services"
NA,661,2015,2,"Event Planning & Services"
NA,656,2015,2,"Event Planning & Services"
NA,587,2015,2,"Event Planning & Services"
NA,526,2015,2,"Event Planning & Services"
NA,440,2015,2,"Event Planning & Services"
NA,409,2015,2,"Event Planning & Services"
NA,375,2015,2,"Event Planning & Services"
NA,358,2015,2,"Event Planning & Services"
NA,348,2015,2,"Event Planning & Services"
NA,341,2015,2,"Event Planning & Services"
NA,334,2015,2,"Event Planning & Services"
NA,332,2015,2,"Event Planning & Services"
NA,331,2015,2,"Event Planning & Services"
NA,316,2015,2,"Event Planning & Services"
NA,312,2015,2,"Event Planning & Services"
NA,300,2015,2,"Event Planning & Services"
NA,298,2015,2,"Event Planning & Services"
NA,292,2015,2,"Event Planning & Services"
NA,288,2015,2,"Event Planning & Services"
NA,288,2015,2,"Event Planning & Services"
NA,284,2015,2,"Event Planning & Services"
NA,284,2015,2,"Event Planning & Services"
NA,277,2015,2,"Event Planning & Services"
NA,266,2015,2,"Event Planning & Services"
NA,254,2015,2,"Event Planning & Services"
NA,250,2015,2,"Event Planning & Services"
NA,246,2015,2,"Event Planning & Services"
NA,238,2015,2,"Event Planning & Services"
NA,233,2015,2,"Event Planning & Services"
NA,231,2015,2,"Event Planning & Services"
NA,230,2015,2,"Event Planning & Services"
NA,217,2015,2,"Event Planning & Services"
NA,217,2015,2,"Event Planning & Services"
NA,215,2015,2,"Event Planning & Services"
NA,210,2015,2,"Event Planning & Services"
NA,209,2015,2,"Event Planning & Services"
NA,207,2015,2,"Event Planning & Services"
NA,205,2015,2,"Event Planning & Services"
NA,204,2015,2,"Event Planning & Services"
NA,203,2015,2,"Event Planning & Services"
NA,202,2015,2,"Event Planning & Services"
NA,198,2015,2,"Event Planning & Services"
NA,198,2015,2,"Event Planning & Services"
NA,197,2015,2,"Event Planning & Services"
NA,197,2015,2,"Event Planning & Services"
NA,196,2015,2,"Event Planning & Services"
NA,192,2015,2,"Event Planning & Services"
NA,191,2015,2,"Event Planning & Services"
NA,183,2015,2,"Event Planning & Services"
NA,179,2015,2,"Event Planning & Services"
NA,178,2015,2,"Event Planning & Services"
NA,173,2015,2,"Event Planning & Services"
NA,165,2015,2,"Event Planning & Services"
NA,165,2015,2,"Event Planning & Services"
NA,165,2015,2,"Event Planning & Services"
NA,164,2015,2,"Event Planning & Services"
NA,163,2015,2,"Event Planning & Services"
NA,161,2015,2,"Event Planning & Services"
NA,153,2015,2,"Event Planning & Services"
NA,151,2015,2,"Event Planning & Services"
NA,150,2015,2,"Event Planning & Services"
NA,147,2015,2,"Event Planning & Services"
NA,146,2015,2,"Event Planning & Services"
NA,145,2015,2,"Event Planning & Services"
NA,143,2015,2,"Event Planning & Services"
NA,142,2015,2,"Event Planning & Services"
NA,142,2015,2,"Event Planning & Services"
NA,142,2015,2,"Event Planning & Services"
NA,141,2015,2,"Event Planning & Services"
NA,141,2015,2,"Event Planning & Services"
NA,140,2015,2,"Event Planning & Services"
NA,139,2015,2,"Event Planning & Services"
NA,139,2015,2,"Event Planning & Services"
NA,139,2015,2,"Event Planning & Services"
NA,138,2015,2,"Event Planning & Services"
NA,137,2015,2,"Event Planning & Services"
NA,137,2015,2,"Event Planning & Services"
NA,134,2015,2,"Event Planning & Services"
NA,134,2015,2,"Event Planning & Services"
NA,133,2015,2,"Event Planning & Services"
NA,133,2015,2,"Event Planning & Services"
NA,130,2015,2,"Event Planning & Services"
NA,129,2015,2,"Event Planning & Services"
NA,128,2015,2,"Event Planning & Services"
NA,125,2015,2,"Event Planning & Services"
NA,124,2015,2,"Event Planning & Services"
NA,123,2015,2,"Event Planning & Services"
NA,122,2015,2,"Event Planning & Services"
NA,121,2015,2,"Event Planning & Services"
NA,120,2015,2,"Event Planning & Services"
NA,120,2015,2,"Event Planning & Services"
NA,120,2015,2,"Event Planning & Services"
NA,118,2015,2,"Event Planning & Services"
NA,118,2015,2,"Event Planning & Services"
NA,116,2015,2,"Event Planning & Services"
NA,116,2015,2,"Event Planning & Services"
NA,116,2015,2,"Event Planning & Services"
NA,115,2015,2,"Event Planning & Services"
NA,18,2015,2,"Financial Services"
NA,8,2015,2,"Financial Services"
NA,6,2015,2,"Financial Services"
NA,6,2015,2,"Financial Services"
NA,5,2015,2,"Financial Services"
NA,5,2015,2,"Financial Services"
NA,5,2015,2,"Financial Services"
NA,5,2015,2,"Financial Services"
NA,4,2015,2,"Financial Services"
NA,4,2015,2,"Financial Services"
NA,4,2015,2,"Financial Services"
NA,4,2015,2,"Financial Services"
NA,4,2015,2,"Financial Services"
NA,3,2015,2,"Financial Services"
NA,3,2015,2,"Financial Services"
NA,3,2015,2,"Financial Services"
NA,3,2015,2,"Financial Services"
NA,3,2015,2,"Financial Services"
NA,3,2015,2,"Financial Services"
NA,3,2015,2,"Financial Services"
NA,3,2015,2,"Financial Services"
NA,3,2015,2,"Financial Services"
NA,3,2015,2,"Financial Services"
NA,3,2015,2,"Financial Services"
NA,3,2015,2,"Financial Services"
NA,3,2015,2,"Financial Services"
NA,3,2015,2,"Financial Services"
NA,3,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,2,2015,2,"Financial Services"
NA,1,2015,2,"Financial Services"
NA,1,2015,2,"Financial Services"
NA,1,2015,2,"Financial Services"
NA,1,2015,2,"Financial Services"
NA,1,2015,2,"Financial Services"
NA,1,2015,2,"Financial Services"
NA,13785,2015,2,"Food"
NA,7334,2015,2,"Food"
NA,7282,2015,2,"Food"
NA,5099,2015,2,"Food"
NA,4751,2015,2,"Food"
NA,4715,2015,2,"Food"
NA,4713,2015,2,"Food"
NA,3816,2015,2,"Food"
NA,3581,2015,2,"Food"
NA,3552,2015,2,"Food"
NA,3503,2015,2,"Food"
NA,3277,2015,2,"Food"
NA,3101,2015,2,"Food"
NA,2981,2015,2,"Food"
NA,2946,2015,2,"Food"
NA,2912,2015,2,"Food"
NA,2877,2015,2,"Food"
NA,2797,2015,2,"Food"
NA,2797,2015,2,"Food"
NA,2742,2015,2,"Food"
NA,2727,2015,2,"Food"
NA,2674,2015,2,"Food"
NA,2639,2015,2,"Food"
NA,2613,2015,2,"Food"
NA,2474,2015,2,"Food"
NA,2452,2015,2,"Food"
NA,2436,2015,2,"Food"
NA,2426,2015,2,"Food"
NA,2381,2015,2,"Food"
NA,2353,2015,2,"Food"
NA,2313,2015,2,"Food"
NA,2303,2015,2,"Food"
NA,2296,2015,2,"Food"
NA,2285,2015,2,"Food"
NA,2248,2015,2,"Food"
NA,2221,2015,2,"Food"
NA,2217,2015,2,"Food"
NA,2213,2015,2,"Food"
NA,2204,2015,2,"Food"
NA,2199,2015,2,"Food"
NA,2199,2015,2,"Food"
NA,2136,2015,2,"Food"
NA,2136,2015,2,"Food"
NA,2088,2015,2,"Food"
NA,2052,2015,2,"Food"
NA,2041,2015,2,"Food"
NA,2032,2015,2,"Food"
NA,2026,2015,2,"Food"
NA,2020,2015,2,"Food"
NA,2014,2015,2,"Food"
NA,1979,2015,2,"Food"
NA,1977,2015,2,"Food"
NA,1975,2015,2,"Food"
